EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
02-241;102241;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Costanera;No Aplica;Privado;No Aplica;01101;Iquique;Calle;1090;Pedro Lagos;572332877;01-01-2009;NO;No Aplica;No Aplica;-20.216192;-70.154678;Privado;Cerrado;No Aplica;No Aplica;;02-02-2026
01-908;200701;;;15;Arica Parinacota;01;Servicio de Salud Arica y Parinacota;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;PAME Hospital Dr. Juan Noé Crevani (Arica);No Aplica;Servicio de Salud;Terciario;15101;Arica;Calle;1000;18 de Septiembre;;;NO;No Aplica;No Aplica;-18.482453;-70.305399;Público;Cerrado;No Aplica;Atención Cerrada-Hospitalaria;;30-12-2025
01-203;101203;;;15;Arica Parinacota;15;SEREMI de Salud de Arica y Parinacota;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Hebe;No Aplica;Privado;No Aplica;15101;Arica;Calle;431;San Marcos;582251921;01-01-2009;NO;No Aplica;No Aplica;-18.48057;-70.31925;Privado;Cerrado;Mediana Complejidad;Atención Cerrada-Hospitalaria;;15-07-2025
;201021;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil de Tarapacá;No Aplica;SEREMI de Salud;Primario;01101;Iquique;Otro;;No Aplica;;;NO;No Aplica;No Aplica;-20.214284;-70.153838;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;30-12-2025
;201022;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil de Atacama;No Aplica;SEREMI de Salud;Primario;03101;Copiapó;Otro;;No Aplica;;22-11-2021;NO;No Aplica;No Aplica;-27.363871;-70.33071;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;19-11-2022
;201024;;;05;Valparaíso;05;SEREMI de Salud de Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad  de Vacunación Móvil de Valparaíso;No Aplica;SEREMI de Salud;Primario;05101;Valparaíso;Otro;;No Aplica;;;NO;No Aplica;No Aplica;-33.044046;-71.62044;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;30-12-2025
;201025;;;06;Libertador Gral. B. O'Higgins;06;SEREMI de Salud del Libertador General Bernardo O?Higgins;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil Del Libertador Gral. B. O'Higgins;No Aplica;SEREMI de Salud;Primario;06101;Rancagua;Otro;;No Aplica;;;NO;No Aplica;No Aplica;-34.170454;-70.74228;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;30-12-2025
;201027;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil del BíoBío;No Aplica;SEREMI de Salud;Primario;08101;Concepción;Otro;;No Aplica;;;NO;No Aplica;No Aplica;-36.829576;-73.054908;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;30-12-2025
;201029;;;10;Los Lagos;10;SEREMI de Salud de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil de Los Lagos;No Aplica;SEREMI de Salud;Primario;10101;Puerto Montt;Otro;;No Aplica;;30-12-2021;NO;No Aplica;No Aplica;-41.468469;-72.939094;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;31-12-2021;30-12-2025
;201023;;;14;Los Ríos;14;SEREMI de Salud de Los Ríos;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Unidad de Vacunación Móvil De Los Ríos;No Aplica;SEREMI de Salud;Primario;14101;Valdivia;Otro;;No Aplica;;28-01-2022;NO;No Aplica;No Aplica;-39.813673;-73.239982;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;28-01-2022;30-12-2025
