EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
11-920;200892;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;JB Medical Test SpA;No Aplica;Privado;Primario;13101;Santiago;Calle;370;Ahumada, oficina 728;227443387;;NO;No Aplica;No Aplica;-33.438854;-70.648809;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-502;112502;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Las Acacias;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;537;Salvador;222237977;01-01-2009;NO;No Aplica;No Aplica;-33.43878;-70.62518;Privado;Vigente en Operación Habitual;;Atención Abierta-Ambulatoria;;
11-951;200323;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Merced;No Aplica;Privado;No Aplica;13101;Santiago;Calle;501;Merced, Piso 2;6007071010;06-05-2016;NO;No Aplica;No Aplica;-33.437624;-70.644432;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-269;112269;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Instituto de Enfermedades Circulatorias;No Aplica;Privado;Secundario;13123;Providencia;Calle;988;Miguel Claro;227140600;01-01-2009;NO;No Aplica;No Aplica;-33.438456;-70.618338;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
06-728;106728;06-328;106328;05;Valparaíso;06;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Isla Negra;No Aplica;Municipal;Primario;05604;El Quisco;Calle;4100;Isidoro Dubournais;352469646;;NO;No Aplica;No Aplica;-33.43842;-71.68409;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-218;112218;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Miguel Claro;No Aplica;Privado;No Aplica;13123;Providencia;Calle;988;Miguel Claro;222649487;01-01-2009;NO;No Aplica;No Aplica;-33.438311;-70.618322;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;;
12-959;112959;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Bioánalisis Ltda.;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;32;Bustamante;222051976;01-01-2009;NO;No Aplica;No Aplica;-33.438106;-70.632423;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
10-272;110272;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Fundación Gantz;No Aplica;Privado;Secundario;13124;Pudahuel;Calle;8545;El Lazo;226438512;01-01-2009;NO;No Aplica;No Aplica;-33.438055;-70.747937;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;;
12-103;112103;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13123;Providencia;Calle;717;José Manuel Infante;225755000;;NO;Hospitalaria Especializada;No Aplica;-33.437988;-70.621882;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
11-216;111216;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Santiago Centro;No Aplica;Privado;No Aplica;13101;Santiago;Calle;418;San Antonio;226392276;01-01-2009;NO;No Aplica;No Aplica;-33.437979;-70.64855;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
11-921;200893;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Atencion Integral Merced;No Aplica;Privado;Secundario;13101;Santiago;Calle;472;Merced, piso 3;228107802;;NO;No Aplica;No Aplica;-33.437978;-70.65123;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-960;112960;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Dilab;No Aplica;Privado;Secundario;13123;Providencia;Avenida;6;Vicuña Mackenna, Piso 1;222223112;01-01-2009;NO;No Aplica;No Aplica;-33.437953;-70.634743;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
11-949;200253;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud La Araucana Salud;No Aplica;Privado;Secundario;13101;Santiago;Calle;472;Merced;229645751;19-10-2011;NO;No Aplica;No Aplica;-33.437944;-70.643933;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-958;112958;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Bionet S.A. - Providencia;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;4;Vicuña Mackenna, Piso 3;222224289;01-01-2009;NO;No Aplica;No Aplica;-33.437839;-70.634761;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
11-010;111010;;;13;Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Otro;Unidad de Atención;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Central);No Aplica;Servicio de Salud;No Aplica;13101;Santiago;Calle;381;Victoria Subercaseaux;;;NO;No Aplica;No Aplica;-33.437836;-70.643062;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-908;200265;12-303;112303;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Andacollo;No Aplica;Municipal;Primario;13123;Providencia;Calle;1661;Andacollo;;18-08-2016;NO;No Aplica;No Aplica;-33.43767;-70.60625;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
11-915;200655;;;13;Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Regulación Médica de las Urgencias (SAMU);Establecimiento de Salud;Centro Metropolitano de Atención Prehospitalaria;No Aplica;Servicio de Salud;Terciario;13101;Santiago;Calle;176;Nueva Bueras;232204845;29-11-2016;SI;;No Aplica;-33.437666;-70.644218;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Abierta-Ambulatoria;;
11-953;200330;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Moneda;No Aplica;Privado;No Aplica;13101;Santiago;Calle;953;Moneda;6007071010;06-07-2011;NO;No Aplica;No Aplica;-33.441773;-70.650018;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
11-209;111209;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Antonio Concha;No Aplica;Privado;No Aplica;13101;Santiago;Calle;346;Merced;222518116;01-01-2009;NO;No Aplica;No Aplica;-33.43744;-70.641653;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
10-350;110350;;;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Pudahuel Estrella;Centro de Salud Familiar;Municipal;Primario;13124;Pudahuel;Avenida;8698;San Francisco;225744150;;NO;No Aplica;No Aplica;-33.43739;-70.75067;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
10-920;200138;10-350;110350;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR La Estrella;No Aplica;Municipal;Primario;13124;Pudahuel;Avenida;8631;El Lazo;;;SI;Urgencia Ambulatoria (SAR);No Aplica;-33.437182;-70.750685;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
10-903;200121;10-345;110345;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dr. Avendaño;No Aplica;Municipal;Primario;13117;Lo Prado;Calle;1087;Teniente Cruz;223621126;;SI;Urgencia Ambulatoria (SAPU);Corto;-33.437066;-70.740457;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
11-218;111218;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Omega;No Aplica;Privado;Secundario;13101;Santiago;Avenida;727;Matucana;226813942;01-01-2009;NO;No Aplica;No Aplica;-33.436962;-70.680018;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
11-224;111224;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Vival Ltda.;No Aplica;Privado;Secundario;13101;Santiago;Calle;843;Monjitas;226305500;01-01-2009;NO;No Aplica;No Aplica;-33.436955;-70.648935;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-104;112104;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Instituto de Neurocirugía Dr. Alfonso Asenjo;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13123;Providencia;Avenida;553;José M. Infante;225754600;;SI;Hospitalaria Especializada;No Aplica;-33.436888;-70.622448;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
10-345;110345;;;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Carlos Avendaño;Centro de Salud Familiar;Municipal;Primario;13117;Lo Prado;Calle;1087;Teniente Cruz;225744802;;NO;No Aplica;No Aplica;-33.43688;-70.74045;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
10-601;110601;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Consultorio Coaniquem;No Aplica;Privado;Secundario;13124;Pudahuel;Avenida;8586;San Francisco;;01-01-2009;NO;No Aplica;No Aplica;-33.436776;-70.748549;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-100;112100;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Del Salvador de Santiago;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13123;Providencia;Avenida;364;Salvador;225754000;;SI;Urgencia Hospitalaria (UEH);No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
12-030;112030;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Otro;Unidad de Atención;Unidad de Salud Funcionario S.S Metropolitano Oriente;No Aplica;Servicio de Salud;Secundario;13123;Providencia;Avenida;364;Salvador;225752958;29-01-2021;NO;No Aplica;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-010;112010;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Otro;Unidad de Atención;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Oriente);No Aplica;Servicio de Salud;No Aplica;13123;Providencia;Avenida;364;Salvador;225752750;;NO;No Aplica;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-011;112011;12-010;112010;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Programa de Atención;PRAIS (S.S Metropolitano Oriente);No Aplica;Servicio de Salud;No Aplica;13123;Providencia;Avenida;364;Salvador;225752958;;NO;No Aplica;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-095;112095;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Internacional SEREMI de Salud Metropolitana;No Aplica;SEREMI de Salud;Primario;13123;Providencia;Calle;551;José Miguel Infante;225753072;01-01-2009;NO;No Aplica;No Aplica;-33.436486;-70.622589;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-965;200843;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Instituto Radiológico Providencia;No Aplica;Privado;Secundario;13123;Providencia;Avenida;199;Providencia;224965500;;NO;No Aplica;No Aplica;-33.436374;-70.631223;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
11-947;200047;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio SANALAB S.A.;No Aplica;Privado;No Aplica;13101;Santiago;Calle;785;Chacabuco, 2º Piso;228986068;;NO;No Aplica;No Aplica;-33.43613;-70.678916;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
12-205;112205;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Psiquiatrica Bretaña;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;2638;Francisco Bilbao;222238855;01-01-2009;NO;No Aplica;No Aplica;-33.43594;-70.59623;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;;
;200919;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;VACUMED;No Aplica;Privado;Primario;13123;Providencia;Avenida;149;Salvador OF. 501;225332127;02-04-2020;NO;No Aplica;No Aplica;-33.435545;-70.631183;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-957;112957;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Química Clínica Especializada;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;149;Salvador;222518116;01-01-2009;NO;No Aplica;No Aplica;-33.435211;-70.62625;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
12-993;200904;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;AMIM;No Aplica;Privado;Primario;13123;Providencia;Avenida;1727;Los Leones, oficina 206;227237472;;NO;No Aplica;No Aplica;-33.435106;-70.626164;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-946;200046;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Diagnóstika;No Aplica;Privado;Secundario;13123;Providencia;Calle;135;Salvador;;13-05-2008;NO;No Aplica;No Aplica;-33.43499;-70.626325;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
10-110;110110;;;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Instituto Traumatológico Dr. Teodoro Gebauer;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13101;Santiago;Avenida;771;San Martin;225746150;;SI;Hospitalaria Especializada;No Aplica;-33.434891;-70.658236;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
12-106;112106;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva;Autogestionado en Red (EAR);Servicio de Salud;Terciario;13123;Providencia;Calle;370;José Manuel Infante;225754459;;NO;Hospitalaria Especializada;No Aplica;-33.434825;-70.622227;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
12-954;112954;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Red Salud Providencia ex Clínica AvanSalud Providencia;No Aplica;Privado;Terciario;13123;Providencia;Avenida;100;Salvador;223662055;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33.43482;-70.62584;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;;
12-973;200895;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Atencion Integral Providencia;No Aplica;Privado;Secundario;13123;Providencia;Calle;331;General Salvo;;;NO;No Aplica;No Aplica;-33.434704;-70.601625;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-956;112956;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Blanco;No Aplica;Privado;No Aplica;13123;Providencia;Avenida;31;Salvador;224905500;01-01-2009;NO;No Aplica;No Aplica;-33.434393;-70.626504;Privado;Vigente en Operación Habitual;No Aplica;Atención Abierta-Ambulatoria;;
12-982;112982;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;MegaSalud;No Aplica;Privado;Secundario;13123;Providencia;Calle;100;Salvador;223695100;01-01-2009;NO;No Aplica;No Aplica;-33.434342;-70.625991;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
;200905;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Orlandi Oncología;No Aplica;Privado;Primario;13123;Providencia;Calle;159;General Salvo;;;NO;No Aplica;No Aplica;-33.434315;-70.623886;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
10-310;110310;;;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Andes;Centro de Salud Familiar;Servicio de Salud;Primario;13126;Quinta Normal;Calle;4234;Andes;800500270;;NO;No Aplica;No Aplica;-33.43419;-70.69294;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-987;112987;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica New Clinic;No Aplica;Privado;No Aplica;13123;Providencia;Calle;1588;Los Leones;223434100;01-01-2009;NO;No Aplica;No Aplica;-33.433876;-70.601276;Privado;Vigente en Operación Habitual;;Atención Abierta-Ambulatoria;;
12-919;200332;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Ñuñoa;No Aplica;Privado;No Aplica;13120;Ñuñoa;Avenida;2401;Irarrázaval, Local 12;6007071010;04-10-2016;NO;No Aplica;No Aplica;-33.454406;-70.606047;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
10-902;200120;10-355;110355;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dr. Arturo Albertz;No Aplica;Municipal;Primario;13103;Cerro Navia;Avenida;1204;Las Torres;225743704;;SI;Urgencia Ambulatoria (SAPU);Corto;-33.433509;-70.731486;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
10-355;110355;;;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Arturo Albertz;Centro de Salud Familiar;Municipal;Primario;13103;Cerro Navia;Calle;1204;Las Torres;225743653;;NO;No Aplica;No Aplica;-33.4335;-70.73166;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-211;112211;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Indisa;No Aplica;Privado;Terciario;13123;Providencia;Avenida;1810;Santa María;223625397;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33.43333;-70.62855;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
10-750;110750;10-350;110350;13;Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.;No Aplica;Municipal;Primario;13124;Pudahuel;Calle;1252;Copiapó;225759832;;NO;No Aplica;No Aplica;-33.43313;-70.76133;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-249;112249;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Santa María;No Aplica;Privado;Terciario;13123;Providencia;Avenida;410;Santa María;224613510;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33.43282;-70.62822;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;;
12-505;112505;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Servicios Médicos Santa María;No Aplica;Privado;Secundario;13123;Providencia;Avenida;410;Santa María;224613590;01-01-2009;NO;No Aplica;No Aplica;-33.432418;-70.628116;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
12-947;200294;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Manuel Montt ex Centro Clínico Integral Las Lilas;No Aplica;Privado;Secundario;13123;Providencia;Avenida;427;Manuel Montt;222726944;23-01-2017;NO;No Aplica;No Aplica;-33.432144;-70.618483;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-302;112302;;;13;Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Alfonso Leng;Centro de Salud Familiar;Municipal;Primario;13123;Providencia;Avenida;303;Manuel Montt;222359166;;NO;No Aplica;No Aplica;-33.43141;-70.61881;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;;
12-941;200608;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental Peñalolén;No Aplica;Privado;No Aplica;13122;Peñalolén;Avenida;2701;Consistorial, Locales B28 y B29;6007071010;19-07-2019;NO;No Aplica;No Aplica;-33.483934;-70.548052;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;;
