Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Numerador;Denominador;PorcentajeCumplimiento
Coquimbo;Servicio de Salud Coquimbo;La Higuera;Posta de Salud Rural El Trapiche;105506;3;3;100.0
Coquimbo;Servicio de Salud Coquimbo;La Higuera;Posta de Salud Rural Los Choros;105505;2;6;33.33
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro Comunitario de Salud Familiar Arcos de Pinamar;200402;29;42;69.05
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro Comunitario de Salud Familiar Lambert;105702;12;14;85.71
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro Comunitario de Salud Familiar Villa Alemania;105701;12;15;80.0
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro Comunitario de Salud Familiar Villa el Indio;105700;10;18;55.56
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Cardenal Caro;105300;74;187;39.57
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Cardenal Raúl Silva Henríquez de La Serena;105319;102;182;56.04
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Dr. Emilio Schaffhauser;105313;184;325;56.62
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Juan Pablo II (La Serena);105325;91;166;54.82
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Las Compañías;105301;52;130;40.0
Coquimbo;Servicio de Salud Coquimbo;La Serena;Centro de Salud Familiar Pedro Aguirre Cerda;105302;130;229;56.77
Coquimbo;Servicio de Salud Coquimbo;La Serena;Posta de Salud Rural Algarrobito;105400;8;7;114.29
Coquimbo;Servicio de Salud Coquimbo;La Serena;Posta de Salud Rural El Romero;105402;12;11;109.09
Coquimbo;Servicio de Salud Coquimbo;La Serena;Posta de Salud Rural Lambert;105499;6;5;120.0
Coquimbo;Servicio de Salud Coquimbo;La Serena;Posta de Salud Rural Las Rojas;105401;11;11;100.0
Coquimbo;Servicio de Salud Coquimbo;Los Vilos;Hospital San Pedro (Los Vilos);105108;74;123;60.16
Coquimbo;Servicio de Salud Coquimbo;Los Vilos;Posta de Salud Rural Caimanes;105478;0;3;0.0
Coquimbo;Servicio de Salud Coquimbo;Los Vilos;Posta de Salud Rural Guangualí;105479;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Los Vilos;Posta de Salud Rural Los Cóndores;105511;4;4;100.0
Coquimbo;Servicio de Salud Coquimbo;Los Vilos;Posta de Salud Rural Quilimarí;105480;15;21;71.43
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Centro de Salud Familiar Carén;105312;13;22;59.09
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Centro de Salud Familiar Chañaral Alto;105311;18;21;85.71
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Centro de Salud Familiar El Palqui;105318;38;56;67.86
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Centro de Salud Familiar Monte Patria;105307;35;77;45.45
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Chilecito;105425;4;5;80.0
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Huatulame;105428;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Pedregal;105431;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Ramadas de Tulahuén;105489;1;2;50.0
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Rapel (Monte Patria);105432;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Monte Patria;Posta de Salud Rural Tulahuén;105435;7;7;100.0
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro Comunitario de Salud Familiar Colonia Limarí;200367;11;12;91.67
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro Comunitario de Salud Familiar Limarí;105723;22;26;84.62
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro Comunitario de Salud Familiar Los Copihues;200258;18;19;94.74
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro Comunitario de Salud Familiar San José de la Dehesa;105722;33;40;82.5
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro de Salud Familiar Cerrillos de Tamaya;105315;35;55;63.64
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro de Salud Familiar Fray Jorge;200569;163;207;78.74
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro de Salud Familiar Jorge Jordán Domic;105317;99;183;54.1
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro de Salud Familiar Marcos Macuada;105322;104;128;81.25
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Centro de Salud Familiar Sotaquí;105324;37;50;74.0
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Alcones Bajo;105417;1;4;25.0
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Camarico (Ovalle);105416;2;5;40.0
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Cerro Blanco;105439;0;1;0.0
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Chalinga;105437;1;3;33.33
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Huamalata;105507;2;7;28.57
Coquimbo;Servicio de Salud Coquimbo;Ovalle;Posta de Salud Rural Recoleta;105510;3;9;33.33
Coquimbo;Servicio de Salud Coquimbo;Paiguano;Centro de Salud Familiar Jaime Thompson Rodríguez;105306;29;37;78.38
Coquimbo;Servicio de Salud Coquimbo;Punitaqui;Centro de Salud Familiar Punitaqui;105308;73;71;102.82
Coquimbo;Servicio de Salud Coquimbo;Río Hurtado;Centro de Salud Familiar Pichasca;105310;10;8;125.0
Coquimbo;Servicio de Salud Coquimbo;Río Hurtado;Posta de Salud Rural Hurtado;105410;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Río Hurtado;Posta de Salud Rural Las Breas (Río Hurtado);105411;1;0;
Coquimbo;Servicio de Salud Coquimbo;Río Hurtado;Posta de Salud Rural Samo Alto;105413;0;1;0.0
Coquimbo;Servicio de Salud Coquimbo;Río Hurtado;Posta de Salud Rural Serón;105414;1;0;
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Centro de Salud Familiar  Valle Alto;105455;16;11;145.45
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Hospital de Salamanca;105104;76;134;56.72
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Arboleda Grande;105501;3;0;
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Camisa;105492;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Cuncumén(Salamanca);105452;1;1;100.0
