Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
5;21;2026;121110;29101742;9;9108;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121110;01030100;9;9108;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;3;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121110;01030300;9;9108;6;0;0;1;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;6;0;6;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121110;29101728;9;9108;9;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121110;01030100;9;9108;9;0;0;7;2;0;0;0;0;0;0;0;0;0;2;9;8;0;9;0;5;9;9;2;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121110;01030300;9;9108;7;0;0;4;3;0;0;0;0;0;7;0;0;0;0;0;7;0;7;0;7;6;7;0;3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121120;29101728;9;9109;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121120;01030100;9;9109;1;;;1;;;;;;;;;;;;1;1;;1;;1;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121120;29101728;9;9109;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121120;01030100;9;9109;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121114;29101728;9;9111;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121114;29101742;9;9111;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121114;01030100;9;9111;3;;;3;;;;;;;;;;;2;;3;;3;;;3;3;;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121114;01030300;9;9111;4;;;3;1;;;;;;4;;;;;;4;;3;;;3;3;0;1;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121114;29101728;9;9111;4;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;21;2026;121114;29101742;9;9111;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;21;2026;121114;01030100;9;9111;4;;;3;1;;;;;;;2;;;1;2;3;0;3;0;0;3;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121114;01030300;9;9111;16;;;14;2;;;;;;16;;16;;;;16;0;16;0;0;12;16;0;3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121114;29101728;9;9111;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121114;29101742;9;9111;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
